Item,Scientific Name
Cardón fruit,Pachycereus pringlei
Cattley guava,Psidium cattleyanum
Ceylon gooseberry,Dovyalis hebecarpa
Chilean guava,Ugni molinae
Chinese gooseberry,Actinidia chinensis
Cinnamon apple,Pouteria hypoglauca
Conkerberry,Carissa spinarum
Costa Rican guava,Psidium friedrichsthalianum
Costa Rican pitahaya,Selenicereus costaricensis
Cranberry,Vaccinium macrocarpon
Crimson passionfruit,Passiflora cinnabarina
Cuajilote,Parmentiera aculeata
Curuba,Passiflora mixta
Darwin's barberry,Berberis darwinii
Date-plum,Diospyros lotus
Davidson's plum,Davidsonia jerseyana
Desert passionfruit,Passiflora pentaschista
Dragon fruit,Selenicereus undatus
Dutchman's laudanum,Passiflora rubra
Eggfruit,Lucuma campechiana
Elderberry,Sambucus nigra
Fe'i banana,Musa × troglodytarum
Feijoa,Feijoa sellowiana
Fox grape,Vitis labrusca
Garlic passionfruit,Passiflora loefgrenii
Giant granadilla,Passiflora quadrangularis
Giant highland banana,Musa ingens
Glenniea philippinensis,Glenniea philippinensis
Golden kiwifruit,Actinidia chinensis var. chinensis
Gooseberry,Ribes uva-crispa
Grape,Vitis vinifera
Green sapote,Pouteria viridis
Guab,Diospyros malabarica
Guava,Psidium guajava
Hardy kiwi,Actinidia arguta
Honeyberry,Lonicera caerulea
Honeysuckle,Lonicera periclymenum
Huckleberry,Vaccinium ovatum
Jabuticaba,Plinia cauliflora
Kei apple,Dovyalis afra
Kiwifruit,Actinidia chinensis var. deliciosa
Kolomicta,Actinidia kolomikta
Kubal,Willughbeia sarawacensis
Lingonberry,Vaccinium vitis-idaea
Lúcuma,Pouteria lucuma
Malabar plum,Syzygium jambos
Mammee,Mammea americana
Mandacaru,Cereus jamacaru
Mangaba,Hancornia speciosa
Maqui berry,Aristotelia chilensis
Maracuja Bravo,Passiflora gibertii
Maracuja Mochila,Passiflora cincinnata
Maracuja Redondo,Passiflora picturata
Mayapple,Podophyllum peltatum
Maypop,Passiflora incarnata
Midgen berry,Austromyrtus dulcis
Mortiño,Vaccinium floribundum
Mountain granadilla,Passiflora ambigua
Mountain papaya,Vasconcellea pubescens
Muscadine,Vitis rotundifolia
Musho,Jaltomata cajacayensis
Naranjilla,Solanum quitoense
Native currant,Acrotriche depressa
New Zealand passionfruit,Passiflora tetrandra
Nipple beehive cactus fruit,Coryphantha macromeris
Ocoki,Pouteria ucuqui
Ooray,Davidsonia pruriens
Oowel paap,Passiflora serratifolia
Oregon grape,Mahonia aquifolium
Oubli fruit,Pentadiplandra brazzeana
Papaya,Carica papaya
Passiflora ampullacea,Passiflora ampullacea
Passiflora platyloba,Passiflora platyloba
Passionfruit,Passiflora edulis
Pepino,Solanum muricatum
Perfumed passionfruit,Passiflora vitifolia
Persimmon,Diospyros kaki
Peruvian apple cactus fruit,Cereus repandus
Pink banana,Musa velutina
Pitahaya de ocampo,Selenicereus ocamponis
Pitaya-da-guatemala,Selenicereus guatemalensis
Pitomba-da-bahia,Eugenia luschnathiana
Planchonella maclayana,Planchonella maclayana
Plantain,Musa balbisiana
Pomegranate,Punica granatum
Poro poro,Passiflora pinnatistipula
Prickly pear fruit,Opuntia ficus-indica
Purple apple-berry,Billardiera longiflora
Purple guava,Psidium rufum
Purple kiwi,Actinidia melanandra
Puruí,Alibertia edulis
Red banana passionfruit,Passiflora antioquiensis
Red currant,Ribes rubrum
Red huckleberry,Vaccinium parvifolium
Red passionfruit,Passiflora manicata
Rukam,Flacourtia rukam
Saguaro fruit,Carnegiea gigantea
Salal,Gaultheria shallon
Scarlet passionfruit,Passiflora coccinea
Sea anemone passionfruit,Passiflora actinia
Sea buckthorn,Hippophae rhamnoides
Selenicereus stenopterus,Selenicereus stenopterus
Small-leaved fuchsia,Fuchsia microphylla
Small-leaved myrtle berry,Archirhodomyrtus beckleri
Smooth davidson's plum,Davidsonia johnsonii
Solomon's plume,Maianthemum racemosum
South American sapote,Quararibea cordata
Star fruit,Averrhoa carambola
