,Rosegold pussy willow,Salix daphnoides
,Saltwort,Salix gracilistyla
,Land Seaweed,Salsola kali
,Opposite leaved saltwort,Salsola komarovii
,Toothbrush tree,Salsola soda
,,Salvadora persica
,,Sambucus javanica
,,Sambucus sieboldiana
,Salad Burnet,Sanguisorba canadensis
,Great Burnet,Sanguisorba minor
,Sassafras,Sanguisorba officinalis
,Katuk,Sassafras albidum
,Eastern Swamp Saxifrage,Sauropus androgynus
,Creeping Rockfoil,Saxifraga pensylvanica
,,Saxifraga stolonifera
,Tagarnina,Schleichera oleosa
,Spotted golden thistle,Scolymus hispanicus
,Scorzonera,Scolymus maculatus
,Baikal Skullcap,Scorzonera hispanica
,Chayote,Scutellaria baicalensis
,Love-restorer,Sechium edule
,Spreading stonecrop,Sedum anacampseros
,Jenny's stonecrop,Sedum divergens
,Rose crown,Sedum reflexum
,Livelong,Sedum rhodanthum
,Digutiyara,Sedum telephium
,Cassod Tree,Senna occidentalis
,Sésame de gazelle,Senna siamea
,Sesame,Sesamum alatum
,Benniseed,Sesamum indicum
,West Indian pea,Sesamum radiatum
,Sesban,Sesbania grandiflora
,Sea Purselane,Sesbania sesban
,Palm-grass,Sesuvium portulacastrum
,,Setaria palmifolia
,Arrowleaf sida,Sicyos angulatus
,,Sida rhombifolia
,Pepper saxifrage,Sidalcea neomexicana
,Moss campion,Silaum silaus
,Bladder Campion,Silene acaulis
,Blessed milk thistle,Silene vulgaris
,White Mustard,Silybum marianum
,Charlock,Sinapis alba
,,Sinapis arvensis
,,Sisymbrium altissimum
,London rocket,Sisymbrium crassifolium
,Hedge mustard,Sisymbrium irio
,,Sisymbrium officinale
,Alexanders,Sium cicutaefolium
,Chinese potato,Smyrnium olusatrum
,,Solenostemon rotundifolius
,Field sow-thistle,Solidago missouriensis
,Spiny-leaved sow thistle,Sonchus arvensis
,Sow Thistle,Sonchus asper
,Pagoda-tree,Sonchus oleraceus
,,Sophora japonica
,,Spathiphyllum phryniifolium
,,Sphenoclea zeylanica
,Toothache Plant,Sphenostylis stenocarpa
,Spinach,Spilanthes acmella
,Greater Duck-weed,Spinacia oleracea
,,Spirodela polyrhiza
,,Spondias dulcis
,Common Chickweed,Stanleya pinnatifida
,,Stellaria media
,,Stenochlaena palustris
,,Sterculia foetida
,Natal orange,Sterculia tragacantha
,Sea Blite,Strychnos spinosa
,Comfrey,Suaeda maritima
,(Russian) Comfrey,Symphytum officinale
,,Symphytum × uplandicum
,Malay apple,Synedrella nodiflora
,,Syzygium malaccense
